도메인,시스템,모듈러시스템,부품,사양,단가,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10
전장,시스템01,모듈러001,부품01,사양A,195,공용,-,신규,신규,-,-,-,공용,-,-
,,,부품02,사양A,22,공용,-,공용,-,-,공용,-,공용,-,-
,,,부품03,사양A,459,-,신규,-,신규,신규,-,-,신규,신규,-
,,,부품04,사양A,38,-,-,-,-,-,-,-,공용,-,공용
,,,부품05,사양A,194,-,신규,신규,-,-,신규,신규,-,-,-
,,,부품05,사양B,256,공용,-,-,공용,-,-,신규,공용,-,공용
,,,부품06,사양A,39,신규,공용,신규,-,-,신규,-,공용,-,-
,,,부품07,사양A,487,-,신규,-,공용,-,-,-,-,-,공용
,,,부품07,사양B,184,-,-,-,-,-,공용,-,-,-,-
,,,부품08,사양A,172,-,신규,-,-,-,-,-,-,-,-
,,,부품08,사양B,256,신규,-,-,공용,-,-,신규,-,신규,-
,,,부품09,사양A,212,-,신규,-,-,공용,-,공용,-,신규,공용
,,,부품09,사양B,232,신규,-,공용,공용,-,신규,신규,신규,공용,공용
,,,부품10,사양A,277,신규,-,-,-,-,-,-,신규,-,공용
,,,부품10,사양B,391,-,신규,-,공용,-,-,공용,-,-,-
전장,시스템01,모듈러002,부품01,사양A,54,-,-,신규,신규,공용,-,-,공용,-,-
,,,부품02,사양A,241,-,-,공용,-,신규,-,-,공용,-,신규
,,,부품02,사양B,303,공용,-,-,-,신규,-,공용,공용,공용,신규
,,,부품03,사양A,54,-,신규,-,신규,-,공용,-,-,-,-
,,,부품04,사양A,76,-,-,-,-,-,-,-,신규,-,신규
,,,부품05,사양A,194,신규,-,-,-,신규,-,-,-,-,-
,,,부품05,사양B,64,공용,신규,신규,-,-,-,-,공용,-,-
,,,부품06,사양A,357,-,공용,-,신규,공용,공용,-,-,-,공용
,,,부품07,사양A,213,-,-,공용,공용,신규,-,-,-,공용,-
,,,부품07,사양B,382,신규,공용,-,-,-,-,-,신규,-,-
,,,부품08,사양A,345,-,공용,-,공용,-,신규,신규,-,-,-
,,,부품09,사양A,497,-,-,신규,-,공용,-,-,-,-,-
,,,부품09,사양B,381,신규,-,-,-,공용,공용,신규,-,-,-
,,,부품10,사양A,186,-,-,신규,-,신규,-,공용,-,-,공용
,,,부품10,사양B,447,신규,공용,-,-,-,-,-,신규,-,신규
샤시,시스템01,모듈러003,부품01,사양A,152,-,-,-,신규,공용,-,신규,-,신규,공용
,,,부품02,사양A,294,-,-,신규,-,공용,공용,-,-,-,신규
,,,부품03,사양A,123,-,신규,-,-,-,공용,-,신규,-,-
,,,부품04,사양A,267,-,공용,-,-,-,공용,신규,-,-,-
,,,부품04,사양B,292,신규,-,공용,-,신규,-,신규,공용,신규,-
,,,부품05,사양A,79,-,-,-,-,-,-,-,-,-,-
,,,부품05,사양B,25,-,-,-,공용,신규,공용,-,신규,-,-
,,,부품06,사양A,475,-,-,-,-,공용,-,-,-,-,-
,,,부품07,사양A,238,-,-,-,-,신규,-,신규,-,-,신규
,,,부품07,사양B,17,-,-,신규,-,신규,-,-,공용,-,신규
,,,부품08,사양A,91,-,-,-,공용,-,-,-,-,-,-
,,,부품09,사양A,19,-,공용,-,-,-,신규,공용,-,공용,-
,,,부품09,사양B,252,공용,-,-,신규,공용,공용,-,-,신규,공용
,,,부품10,사양A,461,신규,-,공용,신규,-,공용,-,-,-,신규
,,,부품10,사양B,13,신규,공용,신규,-,-,신규,신규,공용,신규,신규
전장,시스템01,모듈러004,부품01,사양A,165,-,신규,-,공용,-,-,신규,-,-,공용
,,,부품01,사양B,442,신규,-,-,-,-,-,-,-,-,-
,,,부품02,사양A,467,-,-,-,-,-,신규,신규,-,공용,공용
,,,부품02,사양B,382,공용,-,신규,신규,-,-,-,-,신규,-
,,,부품03,사양A,312,-,-,-,신규,-,-,신규,공용,-,-
,,,부품04,사양A,375,-,-,공용,공용,신규,-,-,-,공용,-
,,,부품04,사양B,342,공용,-,-,신규,공용,공용,공용,공용,-,공용
,,,부품05,사양A,352,-,신규,-,-,-,신규,신규,-,신규,-
,,,부품06,사양A,427,신규,-,-,신규,-,-,신규,-,-,-
,,,부품06,사양B,188,공용,공용,공용,-,-,-,-,신규,공용,신규
,,,부품07,사양A,58,-,-,신규,-,-,공용,신규,-,신규,-
,,,부품08,사양A,231,공용,-,-,공용,-,신규,-,-,공용,-
,,,부품08,사양B,392,공용,-,공용,-,공용,-,-,신규,-,-
,,,부품09,사양A,248,공용,-,-,-,신규,-,-,신규,공용,-
,,,부품10,사양A,370,-,-,신규,-,공용,신규,-,-,-,공용
샤시,시스템01,모듈러005,부품01,사양A,90,-,-,-,-,-,신규,공용,-,-,공용
,,,부품02,사양A,125,신규,공용,공용,-,신규,공용,공용,-,-,공용
,,,부품03,사양A,115,공용,신규,-,-,신규,공용,공용,-,-,-
,,,부품04,사양A,70,공용,-,-,-,-,-,신규,신규,신규,-
,,,부품05,사양A,153,공용,-,공용,-,-,신규,신규,공용,-,-
,,,부품06,사양A,454,-,-,공용,-,-,-,신규,-,신규,-
